Speaker,Prompt Name,Language,Gender,Tags,Prompt Audio Link,Continuation Audio Link
Speaker 7 (HI),v2/hi_speaker_7,Hindi,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_7.mp3
Speaker 8 (HI),v2/hi_speaker_8,Hindi,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_8.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_8.mp3
Speaker 9 (HI),v2/hi_speaker_9,Hindi,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_9.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_9.mp3
Speaker 0 (IT),v2/it_speaker_0,Italian,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_0.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_0.mp3
Speaker 1 (IT),v2/it_speaker_1,Italian,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_1.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_1.mp3
Speaker 2 (IT),v2/it_speaker_2,Italian,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_2.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_2.mp3
Speaker 3 (IT),v2/it_speaker_3,Italian,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_3.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_3.mp3
Speaker 4 (IT),v2/it_speaker_4,Italian,Male,Suno Favorite,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_4.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_4.mp3
Speaker 5 (IT),v2/it_speaker_5,Italian,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_5.mp3
Speaker 6 (IT),v2/it_speaker_6,Italian,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_6.mp3
Speaker 7 (IT),v2/it_speaker_7,Italian,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_7.mp3
Speaker 8 (IT),v2/it_speaker_8,Italian,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_8.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_8.mp3
Speaker 9 (IT),v2/it_speaker_9,Italian,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/it_speaker_9.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/it_speaker_9.mp3
Speaker 0 (JA),v2/ja_speaker_0,Japanese,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/ja_speaker_0.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ja_speaker_0.mp3
Speaker 1 (JA),v2/ja_speaker_1,Japanese,Female,Background Noise,https://dl.suno-models.io/bark/prompts/prompt_audio/ja_speaker_1.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ja_speaker_1.mp3
Speaker 2 (JA),v2/ja_speaker_2,Japanese,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/ja_speaker_2.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ja_speaker_2.mp3
Speaker 3 (JA),v2/ja_speaker_3,Japanese,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/ja_speaker_3.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ja_speaker_3.mp3
Speaker 4 (JA),v2/ja_speaker_4,Japanese,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/ja_speaker_4.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ja_speaker_4.mp3
Speaker 5 (JA),v2/ja_speaker_5,Japanese,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/ja_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ja_speaker_5.mp3
Speaker 6 (JA),v2/ja_speaker_6,Japanese,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/ja_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ja_speaker_6.mp3
Speaker 7 (JA),v2/ja_speaker_7,Japanese,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/ja_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ja_speaker_7.mp3
